Crepis crocifolia
Crepis granatensis
Crepis purpurea
Crepis pusilla
Crepis tectorum
Crex crex
Cricetulus migratorius
Cricetus cricetus
Crocidura canariensis
Crocidura leucodon
Crocidura russula
Crocidura sicula
Crocidura suaveolens
Crocus abantensis
Crocus cyprius
Crocus etruscus
Crocus hartmannianus
Crocus robertianus
Cucujus cinnaberinus
Cucullia mixta
Cuculus canorus
Culcita macrocarpa
Cuon alpinus
Cursorius cursor
Cyanopica cyana
Cyclamen coum
Cyclamen fatrense
Cyclamen kuznetzovii
Cyclamen mirabile
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Cymodocea nodosa
Cynodontium suecicum
Cyprinus carpio
Cyprinus specularis
Cypripedium calceolus
Cyrtodactylus kotschyi
Cyrtopodion caspius
Cyrtopodion kotschyi
Cyrtopodion scaber
Cystophora cristata
Cystoseira amentacea
Cystoseira mediterranea
Cystoseira sedoides
Cystoseira spinosa
Cystoseira zosteroides
Cytisus aeolicus
Daboecia azorica
Dactylorhiza chuhensis
Dactylorhiza kalopissii
Dalatias licha
Dalmatolacerta oxycephala
Dama dama
Daphne arbuscula
Daphne petraea
Daphne rodriguezii
Darevskia armeniaca
Darevskia caucasica
Darevskia derjugini
Darevskia praticola
Dasyatis centroura
Dasyatis pastinaca
Deania calcea
Deania profundorum
Degenia velebitica
Delichon urbica
Delphinapterus leucas
Delphinium caseyi
Delphinus delphis
Delphinus fraenatus
Dendranthema zawadskyi
Dendriopoterium pulidoi
Dendrocopos leucotos
Dendrocopos major
Dendrocopos medius
Dendrocopos minor
Dendrocopos syriacus
Dendropoma petraeum
Dentex dentex
Dermochelys coriacea
Deschampsia maderensis
Desmana moschata
Dianthus arenarius
Dianthus cintranus
Dianthus diutinus
Dianthus hypanicus
Dianthus lumnitzeri
Dianthus marizii
Dianthus moravicus
Dianthus nitidus
Dianthus plumarius
Dianthus rupicola
Dianthus serotinus
Dianthus urumoffii
Dicentrarchus labrax
Dicentrarchus punctatus
Dichelyma capillaceum
Dicranum viride
Dinarolacerta mosorensis
Dinaromys bogdanovi
Diodon hystrix
Dioszeghyana schmidtii
Diphasiastrum alpinum
Diphasiastrum complanatum
Diphasiastrum issleri
Diphasiastrum madeirense
Diphasiastrum oellgaardii
Diphasiastrum tristachyum
Diphasium alpinum
Diphasium complanatum
Diphasium issleri
